iter	Passed	Remaining
401	19064	28360
402	19114	28315
403	19158	28264
404	19204	28213
405	19253	28168
406	19299	28120
407	19346	28070
408	19390	28018
409	19435	27967
410	19482	27920
411	19526	27868
412	19575	27823
413	19620	27772
414	19684	27748
415	19731	27700
416	19781	27656
417	19829	27609
418	19877	27562
419	19923	27513
420	19971	27466
421	20016	27416
422	20062	27366
423	20108	27316
424	20153	27266
425	20213	27235
426	20261	27189
427	20309	27142
428	20369	27112
429	20418	27066
430	20462	27014
431	20510	26967
432	20556	26918
433	20602	26868
434	20649	26820
435	20696	26772
436	20743	26724
437	20788	26674
438	20835	26625
439	20880	26575
440	20927	26527
441	20974	26478
442	21020	26430
443	21068	26383
444	21112	26331
445	21160	26284
446	21207	26236
447	21255	26189
448	21301	26140
449	21348	26092
450	21396	26046
451	21445	26000
452	21490	25950
453	21537	25901
454	21588	25858
455	21634	25809
456	21678	25757
457	21724	25708
458	21771	25661
459	21820	25615
460	21867	25566
461	21914	25519
462	21961	25471
463	22010	25425
464	22057	25378
465	22104	25329
466	22151	25282
467	22197	25233
468	22242	25183
469	22292	25137
470	22336	25086
471	22380	25035
472	22428	24989
473	22476	24941
474	22522	24893
475	22570	24846
476	22615	24795
477	22659	24745
478	22707	24698
479	22758	24654
480	22805	24607
481	22851	24557
482	22898	24510
483	22948	24466
484	22993	24416
485	23038	24365
486	23083	24316
487	23128	24265
488	23171	24214
489	23216	24163
490	23263	24116
491	23314	24072
492	23361	24025
493	23408	23977
494	23455	23929
495	23500	23879
496	23546	23830
497	23591	23781
498	23639	23734
499	23685	23685
500	23734	23640
501	23781	23591
502	23828	23544
503	23873	23494
504	23920	23447
505	23969	23400
506	24012	23349
507	24057	23299
508	24103	23251
509	24148	23201
510	24195	23153
511	24244	23108
512	24289	23058
513	24335	23009
514	24382	22962
515	24429	22914
516	24472	22863
517	24519	22815
518	24574	22775
519	24620	22726
520	24669	22680
521	24715	22632
522	24761	22583
523	24806	22533
524	24853	22486
525	24897	22435
526	24943	22387
527	25003	22352
528	25051	22304
529	25097	22255
530	25142	22206
531	25187	22157
532	25232	22107
533	25277	22058
534	25322	22008
535	25367	21959
536	25410	21908
537	25455	21859
538	25501	21811
539	25555	21769
540	25601	21721
541	25647	21672
542	25692	21623
543	25739	21575
544	25786	21528
545	25833	21480
546	25880	21432
547	25928	21385
548	25970	21334
549	26017	21287
550	26065	21239
551	26111	21192
552	26163	21148
553	26209	21100
554	26255	21051
555	26302	21004
556	26356	20962
557	26403	20914
558	26448	20865
559	26492	20815
560	26536	20765
561	26579	20715
562	26629	20670
563	26675	20621
564	26719	20571
565	26765	20523
566	26813	20476
567	26858	20427
568	26904	20379
569	26951	20331
570	27002	20287
571	27049	20239
572	27093	20190
573	27141	20143
574	27188	20096
575	27234	20047
576	27281	19999
577	27326	19951
578	27374	19904
579	27419	19855
580	27466	19807
581	27511	19759
582	27557	19710
583	27602	19662
584	27647	19613
585	27694	19565
586	27739	19516
587	27784	19468
588	27831	19420
589	27878	19372
590	27926	19326
591	27973	19278
592	28019	19231
593	28066	19183
594	28114	19137
595	28161	19089
596	28206	19040
597	28252	18992
598	28299	18945
599	28350	18900
600	28397	18852
601	28443	18805
602	28491	18758
603	28538	18710
604	28585	18663
605	28633	18616
606	28682	18570
607	28730	18523
608	28778	18476
609	28826	18430
610	28874	18383
611	28922	18336
612	28968	18288
613	29015	18240
614	29061	18193
615	29110	18146
616	29158	18100
617	29206	18053
618	29254	18006
619	29297	17956
620	29344	17909
621	29390	17861
622	29438	17814
623	29498	17774
624	29543	17726
625	29590	17678
626	29639	17632
627	29690	17587
628	29736	17539
629	29782	17491
630	29828	17443
631	29876	17396
632	29921	17347
633	29965	17298
634	30013	17251
635	30059	17203
636	30133	17171
637	30179	17124
638	30225	17075
639	30272	17028
640	30323	16982
641	30371	16936
642	30420	16889
643	30467	16842
644	30515	16795
645	30561	16747
646	30605	16698
647	30654	16652
648	30702	16605
649	30748	16557
650	30796	16510
651	30844	16462
652	30891	16415
653	30936	16367
654	30983	16319
655	31045	16279
656	31093	16232
657	31137	16184
658	31184	16136
659	31231	16089
660	31279	16041
661	31327	15995
662	31374	15947
663	31420	15899
664	31465	15851
665	31516	15805
666	31565	15759
667	31611	15711
668	31659	15663
669	31707	15617
670	31752	15568
671	31799	15521
672	31848	15474
673	31896	15427
674	31940	15378
675	31989	15332
676	32035	15284
677	32081	15236
678	32127	15188
679	32173	15140
680	32218	15092
681	32266	15045
682	32328	15004
683	32373	14956
684	32423	14910
685	32470	14862
686	32518	14815
687	32563	14767
688	32609	14719
689	32654	14671
690	32713	14628
691	32760	14581
692	32809	14534
693	32855	14486
694	32901	14438
695	32949	14391
696	32995	14343
697	33040	14295
698	33085	14247
699	33133	14200
700	33180	14152
701	33227	14105
702	33274	14057
703	33320	14009
704	33368	13962
705	33414	13914
706	33461	13867
707	33505	13818
708	33552	13771
709	33601	13724
710	33652	13678
711	33703	13632
712	33751	13585
713	33818	13546
714	33864	13498
715	33910	13450
716	33959	13404
717	34007	13356
718	34053	13308
719	34098	13260
720	34145	13213
721	34206	13170
722	34260	13125
723	34303	13077
724	34351	13029
725	34399	12982
726	34444	12934
727	34494	12888
728	34540	12840
729	34585	12791
730	34631	12744
731	34677	12695
732	34723	12648
733	34768	12600
734	34815	12552
735	34861	12504
736	34905	12456
737	34956	12409
738	35008	12364
739	35054	12316
740	35101	12268
741	35147	12221
742	35193	12173
743	35238	12125
744	35285	12077
745	35330	12029
746	35375	11981
747	35423	11934
748	35469	11886
749	35511	11837
750	35556	11788
751	35603	11741
752	35649	11693
753	35694	11645
754	35739	11597
755	35784	11549
756	35829	11501
757	35875	11453
758	35920	11405
759	35968	11358
760	36016	11311
761	36063	11264
762	36110	11216
763	36157	11169
764	36205	11122
765	36252	11074
766	36297	11026
767	36343	10978
768	36389	10931
769	36436	10883
770	36482	10835
771	36528	10788
772	36575	10740
773	36623	10693
774	36673	10647
775	36722	10600
776	36768	10552
777	36816	10505
778	36863	10458
779	36910	10410
780	36982	10370
781	37028	10322
782	37073	10274
783	37119	10226
784	37165	10179
785	37210	10131
786	37257	10083
787	37305	10036
788	37352	9988
789	37400	9942
790	37445	9893
791	37491	9846
792	37535	9798
793	37580	9750
794	37627	9702
795	37673	9655
